code,url,product_name,quantity,packaging_tags,categories_tags,origins,manufacturing_places_tags,labels_tags,countries_tags,ingredients_tags,allergens,traces,additives_tags,image_url
0000003301098,http://world-en.openfoodfacts.org/product/0000003301098/mini-cuchaule-au-beurre-coop-suisse,Mini cuchaule au beurre,100 g,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/000/000/330/1098/front_fr.3.400.jpg
0000013000004,http://world-en.openfoodfacts.org/product/0000013000004/kochspeck-bannholz,Kochspeck,686 g,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/000/001/300/0004/front_de.3.400.jpg
0000069004681,http://world-en.openfoodfacts.org/product/0000069004681/seelachsfilet-kohler-bofrost,Seelachsfilet (Köhler),950 g,de:angebrochene-packung,,,,,"en:france,en:switzerland","fr:nom-scientifique,en:peach,en:fruit,fr:categorie-d-engin-de-peche,en:saithe,en:fish,en:white-fish,fr:chaluts",,,,https://images.openfoodfacts.org/images/products/000/006/900/4681/front_fr.4.400.jpg
00001001,http://world-en.openfoodfacts.org/product/00001001/pepites-de-cuchaule,Pepites de cuchaule,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/00001001/front_fr.7.400.jpg
000031980,http://world-en.openfoodfacts.org/product/000031980/superfruit-muesli,Superfruit Muesli,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/000/031/980//front_fr.3.400.jpg
00004480,http://world-en.openfoodfacts.org/product/00004480/smelties-bonfood,smelties,50g,fr:paquet-chips,en:baby-foods,,,"en:gluten-free,en:made-in-swiss,en:no-added-sugar",en:switzerland,"en:cornmeal,en:cereal,en:corn,en:sunflower-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:vegetable-oil",,en:none,,https://images.openfoodfacts.org/images/products/00004480/front_fr.4.400.jpg
000098175,http://world-en.openfoodfacts.org/product/000098175/protein-pancake-mix-maple,Protein Pancake Mix Maple,500 g,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/000/098/175//front_fr.3.400.jpg
00010191,http://world-en.openfoodfacts.org/product/00010191,,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/00010191/front_fr.5.400.jpg
00010429,http://world-en.openfoodfacts.org/product/00010429/beurre-de-fromagerie,Beurre de fromagerie,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/00010429/front_fr.3.400.jpg
000129265,http://world-en.openfoodfacts.org/product/000129265/elevate-pre-workout,Elevate Pre Workout,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/000/129/265//front_fr.3.400.jpg
000143643,http://world-en.openfoodfacts.org/product/000143643/micellar-casein-chocolat,Micellar casein chocolat,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/000/143/643//front_fr.3.400.jpg
000151990,http://world-en.openfoodfacts.org/product/000151990/pure-whey-isolate,Pure Whey Isolate,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/000/151/990//front_fr.3.400.jpg
000161994,http://world-en.openfoodfacts.org/product/000161994/chocolate-protein-bites,Chocolate protein bites,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/000/161/994//front_fr.3.400.jpg
00020603803020006071,http://world-en.openfoodfacts.org/product/00020603803020006071/salmon-bonarea,Salmon,,,"en:seafood,en:fishes,en:fish-fillets,en:salmons,en:salmon-fillets",,,,"en:spain,en:switzerland",,,,,https://images.openfoodfacts.org/images/products/000/206/038/03020006071/front_es.3.400.jpg
0002511151509,http://world-en.openfoodfacts.org/product/0002511151509/100-ethiopan-arabic-coffee,100% Ethiopan arabic coffee,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/000/251/115/1509/front_fr.3.400.jpg
00025393,http://world-en.openfoodfacts.org/product/00025393/salade-de-lentilles-migros,Salade de lentilles,200 g,,"en:meals,en:salads,en:prepared-salads,en:lentil-salads",,,"en:organic,en:eu-organic,en:ch-bio-006",en:switzerland,,,,,https://images.openfoodfacts.org/images/products/00025393/front_fr.3.400.jpg
00026032,http://world-en.openfoodfacts.org/product/00026032/sirop-de-riz-coop-naturaplan,Sirop de riz,350 g,"en:plastic,en:bottle","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:sweeteners,en:syrups,en:simple-syrups,en:cereal-syrups,en:rice-syrups",Italie,italie,"en:made-in-italy,fr:www-v-label-eu",en:switzerland,"en:rice,en:water,fr:nahrwerte-ø",,,,https://images.openfoodfacts.org/images/products/00026032/front_fr.7.400.jpg
0003469156615,http://world-en.openfoodfacts.org/product/0003469156615/patate-dippy,PATATE DIPPY,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/000/346/915/6615/front_fr.3.400.jpg
0005344829003,http://world-en.openfoodfacts.org/product/0005344829003/sanwinchs-de-poulet,Sanwinchs de poulet,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/000/534/482/9003/front_fr.3.400.jpg
0007020003202,http://world-en.openfoodfacts.org/product/0007020003202/pate-vaudois,Pâté vaudois,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/000/702/000/3202/front_fr.3.400.jpg
0007200000021,http://world-en.openfoodfacts.org/product/0007200000021/sauce-bolognaise,Sauce bolognaise,420 g,en:pot,"en:groceries,en:meat-based-products,en:sauces,en:meat-based-sauces,en:pasta-sauces,en:meat-based-pasta-sauces,en:bolognese-sauces",,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/000/720/000/0021/front_en.3.400.jpg
00084370007960090900,http://world-en.openfoodfacts.org/product/00084370007960090900/jamon,Jamón,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/000/843/700/07960090900/front_fr.3.400.jpg
00085793,http://world-en.openfoodfacts.org/product/00085793/pane-maggiore-walter-buchmann,Pane Maggiore,350 g,en:paper,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:white-breads,en:wheat-breads",Switzerland,zurich,,en:switzerland,"en:weizenmehl,en:wasser,en:roggenmehl,en:weizenkleber,en:salz,en:hefe,en:malzmehl,en:weizenstarke,en:acerola,en:fruit,en:halbweiss,en:ruch,en:und-vollkornmehl,en:weizen,en:gerste,en:auf-maitodextrin",,"en:eggs,en:milk,en:sesame-seeds,en:soybeans",,https://images.openfoodfacts.org/images/products/00085793/front_en.4.400.jpg
0009542031695,http://world-en.openfoodfacts.org/product/0009542031695/excellence-cocoa-dark-chocolate-bar-lindt,Excellence cocoa dark chocolate bar,3.5 oz,,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies,en:chocolates,en:dark-chocolates",,,,"en:france,en:switzerland,en:united-states","en:chocolate,en:cocoa-butter,en:cocoa,en:sugar,en:added-sugar,en:disaccharide,en:fat-reduced-cocoa-powder,en:cocoa-powder,en:milkfat,en:dairy,en:oil-and-fat,en:fat",,,,https://images.openfoodfacts.org/images/products/000/954/203/1695/front_en.22.400.jpg
0009800892204,http://world-en.openfoodfacts.org/product/0009800892204/ferrero-nutella-hazelnut-spread-with-cocoa,"Ferrero, nutella, hazelnut spread with cocoa",1 kg,en:pot,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fats,en:spreads,en:breakfasts,en:vegetable-fats,en:sweet-spreads,fr:pates-a-tartiner,en:hazelnut-spreads,en:chocolate-spreads,en:cocoa-and-hazelnuts-spreads",,canada,en:fabrique-au-canada,"en:canada,en:switzerland,en:united-states","en:sugar,en:added-sugar,en:disaccharide,en:palm-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:palm-oil-and-fat,en:hazelnut,en:nut,en:tree-nut,en:cocoa,en:skimmed-milk,en:dairy,en:milk,en:whey,en:lecithin-as-emulsifier,en:vanillin,en:soya,en:artificial-flavouring,en:flavouring","en:milk,en:nuts,en:soybeans",,,https://images.openfoodfacts.org/images/products/000/980/089/2204/front_en.21.400.jpg
0010000002218,http://world-en.openfoodfacts.org/product/0010000002218/ikea-lachs,Ikea Lachs,,,"en:seafood,en:fishes,en:salmons",,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/001/000/000/2218/front_fr.3.400.jpg
0010096100379,http://world-en.openfoodfacts.org/product/0010096100379/griseta-olio-extra-vergine-di-oliva,Griseta Olio extra vergine di oliva,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/001/009/610/0379/front_fr.3.400.jpg
00102722,http://world-en.openfoodfacts.org/product/00102722/caviale-lombardo-dener,caviale lombardo,20 g,fr:italie,,,,,en:switzerland,"fr:0eufs-d-esturgeon,en:iodised-salt,en:salt,en:preservative,fr:on-traditionnelle-effectuee-avec-grand-soin-par-notre-specialiste-du-caviar,fr:acipenser-baerii-x-acipenser-nacarii,fr:d-elevage-en-italie,en:e285,fr:le-caviar-primess-doit-son-gout-authentique-a-sa-teneur-en-sel-incroyablement-faible-et-a-la-preparati",,,en:e285,https://images.openfoodfacts.org/images/products/00102722/front_fr.5.400.jpg
0010700534538,http://world-en.openfoodfacts.org/product/0010700534538/jolly-rancher-watermellon-flavour,Jolly Rancher Watermellon Flavour,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/001/070/053/4538/front_fr.3.400.jpg
0011110047236,http://world-en.openfoodfacts.org/product/0011110047236/simple-truth-plant-based-cauliflower-dip,Simple Truth plant-based Cauliflower dip,,,"en:groceries,en:sauces,en:dips",,,"en:vegetarian,en:vegan","en:switzerland,en:united-states",,,,,https://images.openfoodfacts.org/images/products/001/111/004/7236/front_en.4.400.jpg
0011115001189,http://world-en.openfoodfacts.org/product/0011115001189/margarine-becel,Margarine,,,,,,"en:natural-colorings,en:natural-flavors","en:canada,en:switzerland","en:huiles-de-canola-et-de-tournesol,en:eau,en:huile-d-olive,en:huiles-de-palme-et-de-palmiste-modifies,en:sel,en:babeurre-en-poudre-1-lait,en:aromes-naturels,en:acide-lactique,en:palmitate-de-vitamine-avitamine-al,en:vitamine-d3,en:colorant-naturel,en:lecithine-de-soja,en:edta-de-calcium-disodique-keep-refrigerated-and-use-clean-utensils-garder-au-refrigerateur-et-utiliser-des-to-ustensiles-propres-1115-00118",,,,https://images.openfoodfacts.org/images/products/001/111/500/1189/front_en.17.400.jpg
0011152251936,http://world-en.openfoodfacts.org/product/0011152251936/premium-sweet-rice,Premium Sweet Rice,32 oz,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/001/115/225/1936/front_fr.3.400.jpg
